URL,Film Name,Screening type,Date,Time,Venue,City
https://festival.sundance.org/program/film/656a0160fac9f43f31c04124,10 Lives,Premiere,Jan 20,12:30 PM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/656a0160fac9f43f31c04124,10 Lives,Screening,Jan 21,11:00 AM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/656a0160fac9f43f31c04124,10 Lives,Screening,Jan 27,9:45 AM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6569fdd1fac9f4917fc03a15,A Different Man,Premiere,Jan 21,8:00 PM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/6569fdd1fac9f4917fc03a15,A Different Man,Screening,Jan 22,9:00 AM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/6569fdd1fac9f4917fc03a15,A Different Man,Screening,Jan 25,9:15 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/6569fdd1fac9f4917fc03a15,A Different Man,Screening,Jan 26,5:00 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569fdd1fac9f4917fc03a15,A Different Man,Screening,Jan 28,4:30 PM MST,Holiday Village Cinemas - 2,Park City
https://festival.sundance.org/program/film/6569ffe2fac9f4e1f9c03d7d,A New Kind of Wilderness,Premiere,Jan 19,3:15 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/6569ffe2fac9f4e1f9c03d7d,A New Kind of Wilderness,Screening,Jan 20,2:00 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569ffe2fac9f4e1f9c03d7d,A New Kind of Wilderness,Screening,Jan 21,11:00 AM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6569ffe2fac9f4e1f9c03d7d,A New Kind of Wilderness,Screening,Jan 25,10:30 AM MST,Holiday Village Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569ffe2fac9f4e1f9c03d7d,A New Kind of Wilderness,Screening,Jan 26,2:00 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/656a0138fac9f4af54c04069,A Real Pain,Premiere,Jan 20,11:45 AM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/656a0138fac9f4af54c04069,A Real Pain,Screening,Jan 21,9:30 AM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/656a0138fac9f4af54c04069,A Real Pain,Screening,Jan 23,9:30 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/656a0138fac9f4af54c04069,A Real Pain,Screening,Jan 24,5:30 PM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/656a0138fac9f4af54c04069,A Real Pain,Screening,Jan 26,6:00 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/6569ff6afac9f4c02ec03c23,Agent of Happiness,Premiere,Jan 19,12:15 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/6569ff6afac9f4c02ec03c23,Agent of Happiness,Screening,Jan 20,11:00 AM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569ff6afac9f4c02ec03c23,Agent of Happiness,Screening,Jan 20,4:30 PM MST,Megaplex Theatres at The Gateway - Theater 6,Salt Lake City
https://festival.sundance.org/program/film/6569ff6afac9f4c02ec03c23,Agent of Happiness,Screening,Jan 25,1:15 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/6569ff6afac9f4c02ec03c23,Agent of Happiness,Screening,Jan 26,5:45 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/65761bea27759067a1c981e6,Alfred P. Sloan Feature Film Prize - Love Me,Award Winner,Jan 27,9:00 AM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/6569fd4ffac9f4221ec03966,And So It Begins,Premiere,Jan 22,6:30 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/6569fd4ffac9f4221ec03966,And So It Begins,Screening,Jan 23,12:00 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/6569fd4ffac9f4221ec03966,And So It Begins,Screening,Jan 25,6:30 PM MST,Megaplex Theatres at The Gateway - Theater 8/9,Salt Lake City
https://festival.sundance.org/program/film/6569fd4ffac9f4221ec03966,And So It Begins,Screening,Jan 27,9:30 AM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/6569fd4ffac9f4221ec03966,And So It Begins,Screening,Jan 28,12:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/short-info/656e245aec4ed04276af2941,Animated Short Film Program,Premiere,Jan 19,6:15 PM  MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/short-info/656e245aec4ed04276af2941,Animated Short Film Program,Screening,Jan 20,7:30 PM  MST,Megaplex Theatres at The Gateway - Theater 6,Salt Lake City
https://festival.sundance.org/program/short-info/656e245aec4ed04276af2941,Animated Short Film Program,Screening,Jan 26,9:45 PM  MST,Megaplex Theatres at The Gateway - Theater 8/9,Salt Lake City
https://festival.sundance.org/program/short-info/656e245aec4ed04276af2941,Animated Short Film Program,Screening,Jan 27,5:15 PM  MST,Holiday Village Cinemas - 3,Park City
https://festival.sundance.org/program/film/656a0376fac9f413f9c0441e,As We Speak,Premiere,Jan 22,3:30 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/656a0376fac9f413f9c0441e,As We Speak,Screening,Jan 23,6:00 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/656a0376fac9f413f9c0441e,As We Speak,Screening,Jan 24,6:30 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/656a0376fac9f413f9c0441e,As We Speak,Screening,Jan 26,8:00 PM MST,Holiday Village Cinemas - 3,Park City
https://festival.sundance.org/program/film/65761baf2775903f77c98184,Audience Award: NEXT,Award Winner,Jan 28,9:30 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/65761ae6277590755dc98019,Audience Award: U.S. Documentary,Award Winner,Jan 28,2:30 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/65761aa1277590eac3c97fb9,Audience Award: U.S. Dramatic,Award Winner,Jan 28,11:00 AM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/65761b5d2775904597c980d9,Audience Award: World Cinema Documentary,Award Winner,Jan 28,2:30 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/65761b1c277590fc8bc98079,Audience Award: World Cinema Dramatic,Award Winner,Jan 28,6:00 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/short-info/6574fe64e8eef5631719fb54,Award Winner Short Film Program,Award Winner,Jan 27,7:30 PM  MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/656e092aa0d82d9a2eabf6ef,Being (the Digital Griot),Screening,Jan 23,9:00 AM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/656e092aa0d82d9a2eabf6ef,Being (the Digital Griot),Screening,Jan 23,12:00 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/6569fe64fac9f42b3fc03ae8,Better Angels: The Gospel According To Tammy Faye,Premiere,Jan 19,7:00 PM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/6569fe64fac9f42b3fc03ae8,Better Angels: The Gospel According To Tammy Faye,Screening,Jan 20,6:00 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/6569fe64fac9f42b3fc03ae8,Better Angels: The Gospel According To Tammy Faye,Screening,Jan 28,10:00 AM MST,Holiday Village Cinemas - 2,Park City
https://festival.sundance.org/program/film/656a0011fac9f49fdcc03e3b,Between the Temples,Premiere,Jan 19,2:30 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/656a0011fac9f49fdcc03e3b,Between the Temples,Screening,Jan 20,11:00 AM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/656a0011fac9f49fdcc03e3b,Between the Temples,Screening,Jan 20,10:00 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/656a0011fac9f49fdcc03e3b,Between the Temples,Screening,Jan 23,6:00 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/656a0011fac9f49fdcc03e3b,Between the Temples,Screening,Jan 24,3:30 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/6569ff92fac9f427abc03c60,Black Box Diaries,Premiere,Jan 20,3:30 PM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/6569ff92fac9f427abc03c60,Black Box Diaries,Screening,Jan 21,2:15 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569ff92fac9f427abc03c60,Black Box Diaries,Screening,Jan 25,5:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/6569ff92fac9f427abc03c60,Black Box Diaries,Screening,Jan 26,7:30 PM MST,The Ray Theatre,Park City
